hominoid.n.01	mammal.n.01
peludo.n.01	mammal.n.01
brush-tailed_phalanger.n.01	marsupial.n.01
mouser.n.01	feline.n.01
livestock.n.01	mammal.n.01
plains_pocket_mouse.n.01	pocket_rat.n.01
crab-eating_raccoon.n.01	placental.n.01
spouter.n.03	whale.n.02
hinny.n.01	ungulate.n.01
barren_ground_caribou.n.01	mammal.n.01
tailless_tenrec.n.01	insectivore.n.01
angora.n.04	angora.n.04
zebu.n.01	mammal.n.01
workhorse.n.02	odd-toed_ungulate.n.01
carabao.n.01	bovid.n.01
abyssinian.n.01	placental.n.01
tom.n.02	carnivore.n.01
wirehair.n.01	carnivore.n.01
brown_lemming.n.01	brown_lemming.n.01
pariah_dog.n.01	mammal.n.01
clumber.n.01	clumber.n.01
sussex_spaniel.n.01	spaniel.n.01
grasshopper_mouse.n.01	mammal.n.01
hog_badger.n.01	carnivore.n.01
asiatic_shrew_mole.n.01	placental.n.01
stone_marten.n.01	mammal.n.01
groundhog.n.01	groundhog.n.01
western_chimpanzee.n.01	primate.n.02
napu.n.01	ruminant.n.01
heifer.n.01	ungulate.n.01
malamute.n.01	dog.n.01
western_pipistrel.n.01	vespertilian_bat.n.01
sable.n.05	musteline_mammal.n.01
palfrey.n.01	ungulate.n.01
spotted_lynx.n.01	carnivore.n.01
dwarf_sperm_whale.n.01	toothed_whale.n.01
pomeranian.n.01	placental.n.01
bighorn.n.02	mammal.n.01
scottish_deerhound.n.01	canine.n.02
tree_wallaby.n.01	wallaby.n.01
shire.n.02	mammal.n.01
eared_seal.n.01	pinniped_mammal.n.01
blacktail_jackrabbit.n.01	jackrabbit.n.01
griffon.n.03	carnivore.n.01
viverrine.n.01	carnivore.n.01
pentail.n.01	mammal.n.01
homo_sapiens.n.01	homo_sapiens.n.01
big-eared_bat.n.01	carnivorous_bat.n.01
lemming.n.01	lemming.n.01
pollard.n.02	pollard.n.02
aberdeen_angus.n.01	aberdeen_angus.n.01
hyena.n.01	hyena.n.01
manx.n.02	carnivore.n.01
sir_barton.n.01	placental.n.01
schipperke.n.01	working_dog.n.01
smiledon_californicus.n.01	saber-toothed_tiger.n.01
civet.n.01	carnivore.n.01
plow_horse.n.01	workhorse.n.02
elephant.n.01	mammal.n.01
pinche.n.01	monkey.n.01
rhodesian_man.n.01	homo.n.02
suslik.n.01	placental.n.01
harbor_porpoise.n.01	mammal.n.01
hyrax.n.01	placental.n.01
scottish_deerhound.n.01	hunting_dog.n.01
fossorial_mammal.n.01	fossorial_mammal.n.01
percheron.n.01	draft_horse.n.01
french_bulldog.n.01	french_bulldog.n.01
borzoi.n.01	dog.n.01
farm_horse.n.01	workhorse.n.02
valley_pocket_gopher.n.01	gopher.n.04
addax.n.01	ruminant.n.01
aberdeen_angus.n.01	bovid.n.01
puku.n.01	antelope.n.01
sable_antelope.n.01	antelope.n.01
new_world_porcupine.n.01	porcupine.n.01
lesser_kudu.n.01	antelope.n.01
spaniel.n.01	placental.n.01
sennenhunde.n.01	mammal.n.01
canada_porcupine.n.01	rodent.n.01
omaha.n.04	thoroughbred.n.02
papillon.n.01	dog.n.01
wether.n.01	mammal.n.01
sausage_dog.n.01	canine.n.02
toy_poodle.n.01	dog.n.01
marsh_hare.n.01	placental.n.01
right_whale.n.01	baleen_whale.n.01
valley_pocket_gopher.n.01	rodent.n.01
southeastern_pocket_gopher.n.01	gopher.n.04
irish_terrier.n.01	canine.n.02
pygmy_marmoset.n.01	marmoset.n.01
porpoise.n.01	toothed_whale.n.01
black-and-tan_coonhound.n.01	carnivore.n.01
arabian_camel.n.01	ungulate.n.01
antelope_squirrel.n.01	mammal.n.01
beagle.n.01	placental.n.01
australopithecine.n.01	hominid.n.01
dormouse.n.01	rodent.n.01
tortoiseshell.n.03	carnivore.n.01
exmoor.n.01	domestic_sheep.n.01
milking_shorthorn.n.01	ungulate.n.01
onager.n.02	mammal.n.01
south_american_sea_lion.n.01	pinniped_mammal.n.01
leafnose_bat.n.01	leafnose_bat.n.01
charger.n.01	mammal.n.01
quarter_horse.n.01	quarter_horse.n.01
sand_rat.n.01	sand_rat.n.01
basset.n.01	mammal.n.01
new_world_tapir.n.01	odd-toed_ungulate.n.01
jaguarundi.n.01	mammal.n.01
coyote.n.01	placental.n.01
american_red_squirrel.n.01	squirrel.n.01
miniature_schnauzer.n.01	schnauzer.n.01
hedgehog.n.02	mammal.n.01
woolly_mammoth.n.01	mammal.n.01
cob.n.02	ungulate.n.01
rottweiler.n.01	dog.n.01
otterhound.n.01	hound.n.01
fisher.n.02	fisher.n.02
buckskin.n.01	odd-toed_ungulate.n.01
kangaroo.n.01	kangaroo.n.01
lesser_ape.n.01	placental.n.01
roebuck.n.01	ruminant.n.01
black-and-tan_coonhound.n.01	placental.n.01
yearling.n.03	mammal.n.01
pteropus_capestratus.n.01	mammal.n.01
secretariat.n.02	thoroughbred.n.02
pony.n.05	horse.n.01
shire.n.02	horse.n.01
tibetan_mastiff.n.01	mammal.n.01
tortoiseshell.n.03	domestic_cat.n.01
rat_kangaroo.n.01	rat_kangaroo.n.01
cetacean.n.01	mammal.n.01
gordon_setter.n.01	gordon_setter.n.01
labrador_retriever.n.01	carnivore.n.01
american_foxhound.n.01	foxhound.n.01
asian_wild_ox.n.01	bovid.n.01
jerboa_rat.n.01	mammal.n.01
kelpie.n.02	mammal.n.01
pole_horse.n.02	draft_horse.n.01
bull.n.01	bovine.n.01
tamarisk_gerbil.n.01	rodent.n.01
packhorse.n.01	workhorse.n.02
kob.n.01	antelope.n.01
mole.n.06	placental.n.01
guenon.n.01	placental.n.01
beagle.n.01	dog.n.01
baronduki.n.01	squirrel.n.01
brood_bitch.n.01	mammal.n.01
sled_dog.n.01	canine.n.02
sloth_bear.n.01	sloth_bear.n.01
griffon.n.02	carnivore.n.01
guano_bat.n.01	mammal.n.01
bighorn.n.02	even-toed_ungulate.n.01
sable.n.05	placental.n.01
cheviot.n.01	placental.n.01
deer.n.01	even-toed_ungulate.n.01
lesser_kudu.n.01	bovid.n.01
stablemate.n.01	mammal.n.01
common_lynx.n.01	carnivore.n.01
sassaby.n.01	ungulate.n.01
bulldog.n.01	mammal.n.01
spotted_lynx.n.01	feline.n.01
three-toed_sloth.n.01	sloth.n.02
swamp_rabbit.n.02	swamp_rabbit.n.02
samoyed.n.03	dog.n.01
forest_goat.n.01	forest_goat.n.01
muntjac.n.01	even-toed_ungulate.n.01
paca.n.01	paca.n.01
long-eared_bat.n.01	placental.n.01
ape.n.01	primate.n.02
broodmare.n.01	mare.n.01
zebu.n.01	even-toed_ungulate.n.01
aoudad.n.01	bovid.n.01
smooth-haired_fox_terrier.n.01	fox_terrier.n.01
lechwe.n.01	waterbuck.n.01
tabby.n.02	placental.n.01
weimaraner.n.01	dog.n.01
gib.n.02	placental.n.01
broodmare.n.01	mammal.n.01
mountain_gorilla.n.01	great_ape.n.01
angora.n.02	ruminant.n.01
brush-tailed_porcupine.n.01	rodent.n.01
australopithecus_africanus.n.01	placental.n.01
bonnet_macaque.n.01	old_world_monkey.n.01
pygmy_chimpanzee.n.01	ape.n.01
echidna.n.01	monotreme.n.01
pacer.n.02	mammal.n.01
trotting_horse.n.01	placental.n.01
old_english_sheepdog.n.01	canine.n.02
scotch_terrier.n.01	hunting_dog.n.01
wheel_horse.n.01	wheel_horse.n.01
woolly_indris.n.01	lemur.n.01
eurasian_hamster.n.01	eurasian_hamster.n.01
dachshund.n.01	placental.n.01
cheetah.n.01	mammal.n.01
tailless_tenrec.n.01	tailless_tenrec.n.01
arctic_fox.n.01	mammal.n.01
jack.n.12	mammal.n.01
tom.n.02	tom.n.02
english_springer.n.01	canine.n.02
rabbit_ears.n.02	placental.n.01
eurasian_badger.n.01	mammal.n.01
norwegian_elkhound.n.01	canine.n.02
guadalupe_fur_seal.n.01	pinniped_mammal.n.01
red_squirrel.n.02	rodent.n.01
southern_flying_squirrel.n.01	squirrel.n.01
california_sea_lion.n.01	pinniped_mammal.n.01
aye-aye.n.01	lemur.n.01
red_bat.n.01	carnivorous_bat.n.01
citation.n.06	odd-toed_ungulate.n.01
liver-spotted_dalmatian.n.01	carnivore.n.01
longhorn.n.01	placental.n.01
longwool.n.01	sheep.n.01
mountain_paca.n.01	mountain_paca.n.01
steed.n.01	horse.n.01
entlebucher.n.01	placental.n.01
tabby.n.01	cat.n.01
atlantic_bottlenose_dolphin.n.01	bottlenose_dolphin.n.01
rhesus.n.01	macaque.n.01
bovine.n.01	placental.n.01
bernese_mountain_dog.n.01	mammal.n.01
collared_peccary.n.01	mammal.n.01
crowbait.n.01	equine.n.01
attack_dog.n.01	attack_dog.n.01
old_world_monkey.n.01	mammal.n.01
ungulata.n.01	ungulata.n.01
hog_badger.n.01	musteline_mammal.n.01
lagomorph.n.01	mammal.n.01
coonhound.n.01	mammal.n.01
liver-spotted_dalmatian.n.01	mammal.n.01
takin.n.01	even-toed_ungulate.n.01
cynopterus_sphinx.n.01	placental.n.01
ord_kangaroo_rat.n.01	mammal.n.01
chihuahua.n.03	toy_dog.n.01
common_lynx.n.01	mammal.n.01
dinocerate.n.01	ungulate.n.01
indian_buffalo.n.01	even-toed_ungulate.n.01
boarhound.n.01	canine.n.02
dark_horse.n.02	mammal.n.01
pointer.n.04	carnivore.n.01
west_highland_white_terrier.n.01	dog.n.01
afghan_hound.n.01	dog.n.01
lippizan.n.01	ungulate.n.01
red_wolf.n.01	mammal.n.01
southeastern_pocket_gopher.n.01	placental.n.01
australopithecus_boisei.n.01	mammal.n.01
common_eland.n.01	bovid.n.01
wildcat.n.03	cat.n.01
arabian_camel.n.01	mammal.n.01
polecat.n.02	musteline_mammal.n.01
big-eared_bat.n.01	bat.n.01
bovid.n.01	even-toed_ungulate.n.01
guide_dog.n.01	canine.n.02
hyena.n.01	placental.n.01
longtail_weasel.n.01	mammal.n.01
chamois.n.02	placental.n.01
striped_hyena.n.01	canine.n.02
pocketed_bat.n.01	mammal.n.01
attack_dog.n.01	dog.n.01
leopard_cat.n.01	wildcat.n.03
cotswold.n.01	placental.n.01
pine_marten.n.01	placental.n.01
hominoid.n.01	placental.n.01
suricate.n.01	meerkat.n.01
stirk.n.01	ungulate.n.01
mediterranean_water_shrew.n.01	water_shrew.n.01
rice_rat.n.01	rice_rat.n.01
homo_erectus.n.01	homo.n.02
sea_otter.n.01	carnivore.n.01
indian_mongoose.n.01	carnivore.n.01
banded_palm_civet.n.01	civet.n.01
cape_buffalo.n.01	ruminant.n.01
razorback.n.01	mammal.n.01
sow.n.01	even-toed_ungulate.n.01
mountain_zebra.n.01	placental.n.01
hunting_dog.n.01	dog.n.01
proconsul.n.03	proconsul.n.03
mylodon.n.01	mylodon.n.01
slender-tailed_meerkat.n.01	meerkat.n.01
sambar.n.01	deer.n.01
hog-nosed_skunk.n.01	carnivore.n.01
rock_wallaby.n.01	wallaby.n.01
mountain_nyala.n.01	mountain_nyala.n.01
polo_pony.n.01	equine.n.01
ox.n.02	bovine.n.01
wood_rabbit.n.01	leporid.n.01
lippizan.n.01	lippizan.n.01
sir_barton.n.01	thoroughbred.n.02
burmese_cat.n.01	domestic_cat.n.01
burro.n.01	burro.n.01
angwantibo.n.01	primate.n.02
miniature_pinscher.n.01	working_dog.n.01
sporting_dog.n.01	sporting_dog.n.01
blue_whale.n.01	aquatic_mammal.n.01
australopithecus_africanus.n.01	australopithecine.n.01
sealyham_terrier.n.01	mammal.n.01
simian.n.01	primate.n.02
pine_marten.n.01	carnivore.n.01
fox_terrier.n.01	carnivore.n.01
mandrill.n.01	old_world_monkey.n.01
steller's_sea_cow.n.01	mammal.n.01
opossum.n.02	mammal.n.01
shetland_sheepdog.n.01	shepherd_dog.n.01
california_sea_lion.n.01	sea_lion.n.01
silverback.n.01	ape.n.01
old_world_buffalo.n.01	mammal.n.01
snowshoe_hare.n.01	mammal.n.01
brown_swiss.n.01	even-toed_ungulate.n.01
urial.n.01	even-toed_ungulate.n.01
rat_terrier.n.01	carnivore.n.01
afghan_hound.n.01	carnivore.n.01
tarpan.n.01	ungulate.n.01
snow_leopard.n.01	feline.n.01
hack.n.08	equine.n.01
hog_badger.n.01	badger.n.02
west_highland_white_terrier.n.01	canine.n.02
muntjac.n.01	ungulate.n.01
palfrey.n.01	saddle_horse.n.01
otterhound.n.01	carnivore.n.01
arctic_ground_squirrel.n.01	placental.n.01
alaska_fur_seal.n.01	eared_seal.n.01
irish_water_spaniel.n.01	placental.n.01
golden_retriever.n.01	mammal.n.01
shepherd_dog.n.01	dog.n.01
kudu.n.01	antelope.n.01
golden_retriever.n.01	dog.n.01
eastern_pipistrel.n.01	vespertilian_bat.n.01
macrotus.n.01	placental.n.01
borzoi.n.01	carnivore.n.01
jackass_bat.n.01	carnivorous_bat.n.01
chesapeake_bay_retriever.n.01	carnivore.n.01
common_dolphin.n.01	toothed_whale.n.01
south_american_sea_lion.n.01	sea_lion.n.01
welsh.n.03	mammal.n.01
goat.n.01	ungulate.n.01
anoa.n.01	old_world_buffalo.n.01
roan.n.02	odd-toed_ungulate.n.01
guadalupe_fur_seal.n.01	guadalupe_fur_seal.n.01
round-tailed_muskrat.n.01	rodent.n.01
burmese_cat.n.01	mammal.n.01
hudson_bay_collared_lemming.n.01	lemming.n.01
drill.n.02	primate.n.02
springer.n.02	bovine.n.01
bettong.n.01	bettong.n.01
african_wild_ass.n.01	african_wild_ass.n.01
persian_cat.n.01	feline.n.01
affirmed.n.01	ungulate.n.01
american_flying_squirrel.n.01	placental.n.01
ichneumon.n.01	ichneumon.n.01
western_chimpanzee.n.01	western_chimpanzee.n.01
courser.n.03	courser.n.03
european_wildcat.n.01	placental.n.01
great_pyrenees.n.01	carnivore.n.01
shetland_sheepdog.n.01	shetland_sheepdog.n.01
mule_deer.n.01	ruminant.n.01
groundhog.n.01	marmot.n.01
redbone.n.01	hunting_dog.n.01
sassaby.n.01	placental.n.01
nanny.n.02	goat.n.01
flickertail.n.01	mammal.n.01
milking_shorthorn.n.01	dairy_cattle.n.01
farm_horse.n.01	placental.n.01
springer_spaniel.n.01	mammal.n.01
musk_ox.n.01	mammal.n.01
thoroughbred.n.02	odd-toed_ungulate.n.01
water_vole.n.02	placental.n.01
striped_skunk.n.01	musteline_mammal.n.01
black_sheep.n.02	ruminant.n.01
fur_seal.n.01	eared_seal.n.01
puku.n.01	mammal.n.01
crab-eating_dog.n.01	wild_dog.n.01
bobcat.n.01	feline.n.01
green_monkey.n.01	mammal.n.01
earless_seal.n.01	mammal.n.01
marco_polo_sheep.n.01	placental.n.01
chiacoan_peccary.n.01	even-toed_ungulate.n.01
sand_rat.n.02	mammal.n.01
phenacomys.n.01	placental.n.01
carnivorous_bat.n.01	bat.n.01
okapi.n.01	mammal.n.01
shetland_sheepdog.n.01	working_dog.n.01
seattle_slew.n.01	placental.n.01
rabbit_ears.n.02	leporid.n.01
false_saber-toothed_tiger.n.01	placental.n.01
bull.n.01	even-toed_ungulate.n.01
domestic_cat.n.01	feline.n.01
clydesdale_terrier.n.01	skye_terrier.n.01
gayal.n.01	even-toed_ungulate.n.01
brown_bat.n.01	bat.n.01
spouter.n.03	placental.n.01
livestock.n.01	livestock.n.01
harp_seal.n.01	harp_seal.n.01
pooch.n.01	mammal.n.01
seizure-alert_dog.n.01	carnivore.n.01
pocket_mouse.n.01	mammal.n.01
jerboa.n.01	placental.n.01
australopithecus_afarensis.n.01	hominid.n.01
mudder.n.01	horse.n.01
alaskan_brown_bear.n.01	bear.n.01
european_wildcat.n.01	mammal.n.01
brush-tailed_phalanger.n.01	brush-tailed_phalanger.n.01
cow_pony.n.01	saddle_horse.n.01
cougar.n.01	feline.n.01
bovid.n.01	ungulate.n.01
naked_mole_rat.n.01	fossorial_mammal.n.01
coyote.n.01	coyote.n.01
domestic_ass.n.01	ass.n.03
wild_goat.n.01	placental.n.01
binturong.n.01	placental.n.01
western_big-eared_bat.n.01	western_big-eared_bat.n.01
little_brown_bat.n.01	carnivorous_bat.n.01
thomson's_gazelle.n.01	ungulate.n.01
jerboa_kangaroo.n.01	marsupial.n.01
atlantic_bottlenose_dolphin.n.01	cetacean.n.01
woolly_indris.n.01	primate.n.02
ox.n.01	bovid.n.01
setter.n.02	placental.n.01
grizzly.n.01	placental.n.01
babirusa.n.01	even-toed_ungulate.n.01
deer_mouse.n.01	rodent.n.01
western_lowland_gorilla.n.01	ape.n.01
lakeland_terrier.n.01	wirehair.n.01
bengal_tiger.n.01	mammal.n.01
horseshoe_bat.n.02	mammal.n.01
gordon_setter.n.01	dog.n.01
racehorse.n.01	odd-toed_ungulate.n.01
blue_fox.n.01	carnivore.n.01
pygmy_sperm_whale.n.01	placental.n.01
even-toed_ungulate.n.01	placental.n.01
homo_sapiens.n.01	hominid.n.01
crab-eating_opossum.n.01	opossum.n.02
colobus.n.01	colobus.n.01
gerenuk.n.01	even-toed_ungulate.n.01
bovid.n.01	ruminant.n.01
leonberg.n.01	mammal.n.01
water_vole.n.01	mammal.n.01
irish_setter.n.01	setter.n.02
marsh_hare.n.01	wood_rabbit.n.01
seal.n.09	placental.n.01
rhesus.n.01	primate.n.02
beagle.n.01	hunting_dog.n.01
heifer.n.01	heifer.n.01
wood_mouse.n.01	rodent.n.01
toy_spaniel.n.01	placental.n.01
brabancon_griffon.n.01	griffon.n.02
mangabey.n.01	mammal.n.01
peludo.n.01	armadillo.n.01
paranthropus.n.01	hominid.n.01
lioness.n.01	mammal.n.01
tree_wallaby.n.01	marsupial.n.01
aberdeen_angus.n.01	cattle.n.01
silky_terrier.n.01	canine.n.02
unguiculate.n.01	unguiculate.n.01
shih-tzu.n.01	carnivore.n.01
abrocome.n.01	placental.n.01
eastern_grey_squirrel.n.01	tree_squirrel.n.01
ibex.n.01	ibex.n.01
barbary_ape.n.01	barbary_ape.n.01
mole_rat.n.02	mole_rat.n.02
ox.n.02	mammal.n.01
western_big-eared_bat.n.01	placental.n.01
rhesus.n.01	mammal.n.01
kuvasz.n.01	mammal.n.01
sand_rat.n.02	placental.n.01
sled_dog.n.01	placental.n.01
pony.n.02	mammal.n.01
west_highland_white_terrier.n.01	carnivore.n.01
bitch.n.04	mammal.n.01
hearing_dog.n.01	working_dog.n.01
eohippus.n.01	odd-toed_ungulate.n.01
false_saber-toothed_tiger.n.01	saber-toothed_tiger.n.01
roe_deer.n.01	ruminant.n.01
border_terrier.n.01	carnivore.n.01
wild_goat.n.01	ruminant.n.01
airedale.n.01	dog.n.01
count_fleet.n.01	mammal.n.01
malinois.n.01	dog.n.01
mastiff.n.01	placental.n.01
plow_horse.n.01	mammal.n.01
guernsey.n.02	ungulate.n.01
coach_horse.n.01	equine.n.01
chamois.n.02	ungulate.n.01
coondog.n.01	mammal.n.01
appaloosa.n.01	mammal.n.01
housedog.n.01	working_dog.n.01
spotted_lynx.n.01	lynx.n.02
domestic_sheep.n.01	ruminant.n.01
small_civet.n.01	civet.n.01
warthog.n.01	warthog.n.01
gazelle.n.01	ungulate.n.01
collie.n.01	placental.n.01
roan.n.02	roan.n.02
hart.n.03	ungulate.n.01
briard.n.01	working_dog.n.01
tiger.n.02	feline.n.01
miniature_pinscher.n.01	canine.n.02
pipistrelle.n.01	pipistrelle.n.01
river_otter.n.01	mammal.n.01
napu.n.01	napu.n.01
redbone.n.01	redbone.n.01
otter.n.02	otter.n.02
dugong.n.01	mammal.n.01
tarsier.n.01	primate.n.02
alley_cat.n.01	domestic_cat.n.01
northern_pocket_gopher.n.01	rodent.n.01
african_wild_ass.n.01	ass.n.03
sled_dog.n.01	dog.n.01
columbian_mammoth.n.01	mammal.n.01
plow_horse.n.01	odd-toed_ungulate.n.01
european_water_shrew.n.01	shrew.n.02
milking_shorthorn.n.01	even-toed_ungulate.n.01
anteater.n.02	mammal.n.01
standard_poodle.n.01	poodle.n.01
great_pyrenees.n.01	canine.n.02
tamandua.n.01	placental.n.01
grade.n.09	grade.n.09
harbor_porpoise.n.01	placental.n.01
right_whale.n.01	whale.n.02
crab-eating_dog.n.01	canine.n.02
muntjac.n.01	ruminant.n.01
tiglon.n.01	mammal.n.01
cotton_rat.n.01	mammal.n.01
ibex.n.01	ungulate.n.01
california_sea_lion.n.01	seal.n.09
rhodesian_man.n.01	hominid.n.01
bezoar_goat.n.01	placental.n.01
stone_marten.n.01	marten.n.01
exmoor.n.01	placental.n.01
monkey.n.01	monkey.n.01
pricket.n.02	deer.n.01
field_mouse.n.02	field_mouse.n.02
western_chimpanzee.n.01	anthropoid_ape.n.01
pithecanthropus.n.01	mammal.n.01
kaffir_cat.n.01	feline.n.01
broadtail.n.02	ungulate.n.01
siberian_husky.n.01	canine.n.02
hamster.n.01	hamster.n.01
wild_horse.n.01	placental.n.01
harbor_porpoise.n.01	aquatic_mammal.n.01
liver-spotted_dalmatian.n.01	canine.n.02
rabbit_ears.n.02	rabbit_ears.n.02
belgian_sheepdog.n.01	belgian_sheepdog.n.01
aurochs.n.02	bovine.n.01
drill.n.02	mammal.n.01
hog-nosed_skunk.n.01	placental.n.01
assault.n.03	mammal.n.01
harnessed_antelope.n.01	ungulate.n.01
aperea.n.01	rodent.n.01
ewe.n.03	bovid.n.01
drill.n.02	old_world_monkey.n.01
racehorse.n.01	mammal.n.01
pony.n.01	equine.n.01
toy_manchester.n.01	terrier.n.01
pocket_mouse.n.01	pocket_mouse.n.01
abyssinian.n.01	cat.n.01
kudu.n.01	even-toed_ungulate.n.01
cat.n.01	mammal.n.01
green_monkey.n.01	green_monkey.n.01
gazella_subgutturosa.n.01	ungulate.n.01
wild_sheep.n.01	mammal.n.01
affenpinscher.n.01	dog.n.01
musk_deer.n.01	mammal.n.01
barren_ground_caribou.n.01	deer.n.01
mangabey.n.01	mangabey.n.01
cavy.n.01	placental.n.01
tiger_cat.n.01	feline.n.01
bulldog.n.01	bulldog.n.01
hereford.n.01	placental.n.01
japanese_deer.n.01	placental.n.01
norfolk_terrier.n.01	hunting_dog.n.01
citation.n.06	equine.n.01
tree_squirrel.n.01	squirrel.n.01
jennet.n.01	ass.n.03
whippet.n.01	hunting_dog.n.01
packhorse.n.01	ungulate.n.01
phenacomys.n.01	rodent.n.01
domestic_sheep.n.01	even-toed_ungulate.n.01
gordon_setter.n.01	hunting_dog.n.01
humpback.n.03	placental.n.01
serval.n.01	feline.n.01
water_chevrotain.n.01	chevrotain.n.01
wire-haired_fox_terrier.n.01	dog.n.01
saki.n.03	new_world_monkey.n.01
old_world_porcupine.n.01	rodent.n.01
hart.n.03	mammal.n.01
hognose_bat.n.01	placental.n.01
boar.n.02	even-toed_ungulate.n.01
water_spaniel.n.01	spaniel.n.01
nanny.n.02	even-toed_ungulate.n.01
frosted_bat.n.01	frosted_bat.n.01
kit_fox.n.02	kit_fox.n.02
fox_squirrel.n.01	fox_squirrel.n.01
borzoi.n.01	hound.n.01
sporting_dog.n.01	canine.n.02
vicuna.n.03	even-toed_ungulate.n.01
great_ape.n.01	anthropoid_ape.n.01
bearded_seal.n.01	bearded_seal.n.01
southern_bog_lemming.n.01	lemming.n.01
barbary_ape.n.01	primate.n.02
groenendael.n.01	dog.n.01
two-toed_sloth.n.01	placental.n.01
rambouillet.n.01	mammal.n.01
pole_horse.n.01	mammal.n.01
common_eland.n.01	ungulate.n.01
cape_buffalo.n.01	placental.n.01
labrador_retriever.n.01	sporting_dog.n.01
chesapeake_bay_retriever.n.01	placental.n.01
swamp_rabbit.n.02	lagomorph.n.01
pembroke.n.01	mammal.n.01
pygmy_mouse.n.01	rodent.n.01
eland.n.01	antelope.n.01
mare.n.01	placental.n.01
armadillo.n.01	mammal.n.01
springbok.n.01	placental.n.01
bruin.n.01	mammal.n.01
indian_rhinoceros.n.01	placental.n.01
sealyham_terrier.n.01	placental.n.01
ox.n.01	placental.n.01
greater_kudu.n.01	placental.n.01
eurasian_otter.n.01	eurasian_otter.n.01
saber-toothed_tiger.n.01	saber-toothed_tiger.n.01
charger.n.01	saddle_horse.n.01
wheel_horse.n.01	odd-toed_ungulate.n.01
steller_sea_lion.n.01	seal.n.09
lakeland_terrier.n.01	dog.n.01
brown_swiss.n.01	bovine.n.01
peludo.n.01	peludo.n.01
pine_marten.n.01	pine_marten.n.01
hominoid.n.01	hominoid.n.01
javanthropus.n.01	primate.n.02
prancer.n.01	equine.n.01
giant_kangaroo.n.01	marsupial.n.01
american_water_spaniel.n.01	water_spaniel.n.01
mountain_sheep.n.01	ruminant.n.01
bushbuck.n.01	ruminant.n.01
river_otter.n.01	carnivore.n.01
yearling.n.03	placental.n.01
pteropus_capestratus.n.01	placental.n.01
warrigal.n.01	odd-toed_ungulate.n.01
springbok.n.01	gazelle.n.01
fruit_bat.n.01	placental.n.01
charolais.n.01	placental.n.01
harvest_mouse.n.02	rodent.n.01
grivet.n.01	grivet.n.01
wild_goat.n.01	wild_goat.n.01
western_chimpanzee.n.01	chimpanzee.n.01
coondog.n.01	coonhound.n.01
vampire_bat.n.01	bat.n.01
vole.n.01	placental.n.01
smooth-haired_fox_terrier.n.01	terrier.n.01
kid.n.05	even-toed_ungulate.n.01
palomino.n.01	ungulate.n.01
groenendael.n.01	placental.n.01
dachshund.n.01	mammal.n.01
pomeranian.n.01	mammal.n.01
bighorn.n.02	placental.n.01
goat_antelope.n.01	ungulate.n.01
red_squirrel.n.02	mammal.n.01
border_collie.n.01	placental.n.01
guereza.n.01	placental.n.01
miniature_pinscher.n.01	carnivore.n.01
bear_cub.n.01	bear_cub.n.01
chow.n.03	carnivore.n.01
dasyurid_marsupial.n.01	metatherian.n.01
red_poll.n.01	even-toed_ungulate.n.01
red_fox.n.03	placental.n.01
guadalupe_fur_seal.n.01	fur_seal.n.02
american_bison.n.01	ungulate.n.01
gallant_fox.n.01	odd-toed_ungulate.n.01
chesapeake_bay_retriever.n.01	canine.n.02
red_wolf.n.01	placental.n.01
bear_cub.n.01	mammal.n.01
gnu.n.01	placental.n.01
golden_hamster.n.01	hamster.n.01
slow_loris.n.01	placental.n.01
dalmatian.n.02	canine.n.02
bullock.n.02	bovine.n.01
irish_water_spaniel.n.01	canine.n.02
vespertilian_bat.n.01	carnivorous_bat.n.01
ram.n.05	ungulate.n.01
cougar.n.01	wildcat.n.03
black_fox.n.01	canine.n.02
macaque.n.01	primate.n.02
dhole.n.01	dhole.n.01
steeplechaser.n.01	ungulate.n.01
rhinoceros.n.01	mammal.n.01
squirrel_monkey.n.01	monkey.n.01
bouvier_des_flandres.n.01	mammal.n.01
post_horse.n.01	odd-toed_ungulate.n.01
giant_panda.n.01	mammal.n.01
old_world_monkey.n.01	placental.n.01
sand_rat.n.02	gerbil.n.01
brown_rat.n.01	rodent.n.01
typical_jerboa.n.01	rodent.n.01
true_marmoset.n.01	primate.n.02
bulldog.n.01	canine.n.02
bettong.n.01	rat_kangaroo.n.01
charolais.n.01	mammal.n.01
alley_cat.n.01	carnivore.n.01
manatee.n.01	sea_cow.n.01
hampshire.n.02	placental.n.01
zoril.n.01	weasel.n.02
leonberg.n.01	carnivore.n.01
dall_sheep.n.01	ungulate.n.01
count_fleet.n.01	horse.n.01
jaguarundi.n.01	cat.n.01
black_sheep.n.02	mammal.n.01
old_world_least_weasel.n.01	old_world_least_weasel.n.01
elephant_seal.n.01	pinniped_mammal.n.01
cheviot.n.01	domestic_sheep.n.01
sausage_dog.n.01	placental.n.01
bottle-nosed_whale.n.01	aquatic_mammal.n.01
forest_goat.n.01	ruminant.n.01
lincoln.n.03	bovid.n.01
toy_manchester.n.01	rat_terrier.n.01
southeastern_pocket_gopher.n.01	rodent.n.01
cinnamon_bear.n.01	carnivore.n.01
bullterrier.n.01	dog.n.01
harrier.n.02	mammal.n.01
bulldog.n.01	working_dog.n.01
yak.n.02	placental.n.01
tenrec.n.01	placental.n.01
cro-magnon.n.01	cro-magnon.n.01
